SppName	Trait
Tip1	0.2966208518
Tip2	0.440878001
Tip3	0.2111513391
Tip4	0.6851080745
Tip5	0.4753307621
Tip6	0.8313404066
Tip7	0.3571563545
Tip8	0.5543181086
Tip9	0.4552101456
Tip10	0.86036968
Tip11	0.4589637518
Tip12	0.9760750681
Tip13	0.4940720028
Tip14	0.9578286675
Tip15	0.0898748096
Tip16	0.0376174441
Tip17	0.6612078152
Tip18	0.634795445
Tip19	0.8187860288
Tip20	0.7552258442
Tip21	0.5311547583
Tip22	0.4599004081
Tip23	0.6719703078
Tip24	0.6643651705
Tip25	0.7481118008
Tip26	0.4541814486
Tip27	0.9565509469
Tip28	0.6720437473
Tip29	0.3043286665
Tip30	0.9062253311
Tip31	0.6576469336
Tip32	0.7822492709
Tip33	0.9655472385
Tip34	0.3798109326
Tip35	0.32795172
Tip36	0.9210126535
Tip37	0.376130261
Tip38	0.4967866745
Tip39	0.0953543568
Tip40	0.4791350774
Tip41	0.3662976767
Tip42	0.5011350843
Tip43	0.886200258
Tip44	0.4564545588
Tip45	0.4550793646
Tip46	0.2188314153
Tip47	0.905981971
Tip48	0.1036406867
Tip49	0.3588856207
Tip50	0.0832555359
Tip51	0.8667895878
Tip52	0.7117886068
Tip53	0.2177888593
Tip54	0.7078142236
Tip55	0.0760680535
Tip56	0.149852782
Tip57	0.0503256158
Tip58	0.0143968137
Tip59	0.5220793951
Tip60	0.9406780922
Tip61	0.277836001
Tip62	0.454297551
Tip63	0.044534585
Tip64	0.0036806716
Tip65	0.831165045
Tip66	0.8256582967
Tip67	0.8969951835
Tip68	0.1304889978
Tip69	0.594219272
Tip70	0.5929348189
Tip71	0.9098431179
Tip72	0.2045142325
Tip73	0.4311208935
Tip74	0.2376231435
Tip75	0.3906388809
Tip76	0.3514386779
Tip77	0.8599457941
Tip78	0.822726435
Tip79	0.2368510989
Tip80	0.6470970139
Tip81	0.8654666767
Tip82	0.1589753642
Tip83	0.6357205533
Tip84	0.0679360772
Tip85	0.6574886078
Tip86	0.0616712398
Tip87	0.6277733864
Tip88	0.1096475231
Tip89	0.7365608122
Tip90	0.0677818442
Tip91	0.8961435072
Tip92	0.2741553294
Tip93	0.6231325059
Tip94	0.2188762883
Tip95	0.106685488
Tip96	0.7006760472
Tip97	0.2314390242
Tip98	0.3040603641
Tip99	0.2206458794
Tip100	0.3897050396
Tip101	0.1618139255
Tip102	0.6722199745
Tip103	0.8138753516
Tip104	0.0796822151
Tip105	0.3776773489
Tip106	0.5679124459
Tip107	0.1145875789
Tip108	0.2128487802
Tip109	0.9572597584
Tip110	0.0778757348
Tip111	0.0113764601
Tip112	0.7975305989
Tip113	0.5014867564
Tip114	0.5740493136
Tip115	0.4401626908
Tip116	0.5478410842
Tip117	0.3251104271
Tip118	0.5599915422
Tip119	0.2135040159
Tip120	0.4624054828
Tip121	0.4446493383
Tip122	0.6772672185
Tip123	0.1674698414
Tip124	0.9224564582
Tip125	0.9874372641
Tip126	0.8026251234
Tip127	0.4800301678
Tip128	0.8417339846
Tip129	0.1422464387
Tip130	0.5484259049
Tip131	0.575829688
Tip132	0.0821317104
Tip133	0.2945426255
Tip134	0.2459629057
Tip135	0.9650946362
Tip136	0.1648285687
Tip137	0.6106526875
Tip138	0.0367118441
Tip139	0.2014723201
Tip140	0.159729159
Tip141	0.5763889784
Tip142	0.4373271465
Tip143	0.3573679081
Tip144	0.9536456717
Tip145	0.2489388864
Tip146	0.8801711481
Tip147	0.3343370683
Tip148	0.8627049443
Tip149	0.115342204
Tip150	0.5362367975
Tip151	0.2949356409
Tip152	0.5221928796
Tip153	0.6898299544
Tip154	0.364844718
Tip155	0.4424262904
Tip156	0.1457032794
Tip157	0.6603786848
Tip158	0.9316042629
Tip159	0.2659042962
Tip160	0.0601147283
