Spp	Trait
Tip1	0.49682429
Tip2	0.941438414
Tip3	0.801031181
Tip4	0.236553911
Tip5	0.397195936
Tip6	0.651929823
Tip7	0.130402966
Tip8	0.983719803
Tip9	0.528979163
Tip10	0.840138973
Tip11	0.281273585
Tip12	0.511774664
Tip13	0.314361269
Tip14	0.826316616
Tip15	0.817013542
Tip16	0.543787552
Tip17	0.114174892
Tip18	0.110886563
Tip19	0.233731715
Tip20	0.124552007
Tip21	0.46188826
Tip22	0.298793468
Tip23	0.980707474
Tip24	0.331324468
Tip25	0.014957097
Tip26	0.352177537
Tip27	0.500946567
Tip28	0.572190777
Tip29	0.267734346
Tip30	0.947547864
Tip31	0.788191081
Tip32	0.572221801
Tip33	0.625489946
Tip34	0.739456519
Tip35	0.966485362
Tip36	0.446677845
Tip37	0.89722811
Tip38	0.952222702
Tip39	0.877218809
Tip40	0.905276277
Tip41	0.850502682
Tip42	0.597657477
Tip43	0.994668048
Tip44	0.830060398
Tip45	0.170150232
Tip46	0.052909475
Tip47	0.867102317
Tip48	0.68630471
Tip49	0.633314969
Tip50	0.611389778
Tip51	0.150520176
Tip52	0.630892117
Tip53	0.365740601
Tip54	0.752687293
Tip55	0.447108259
Tip56	0.762131818
Tip57	0.593212584
Tip58	0.782097627
Tip59	0.145369251
Tip60	0.384102621
Tip61	0.071747616
Tip62	0.86806514
Tip63	0.855181667
Tip64	0.916236715
Tip65	0.509214204
Tip66	0.71663828
Tip67	0.382923948
Tip68	0.302159106
Tip69	0.638370144
Tip70	0.218352182
Tip71	0.921380613
Tip72	0.630844012
Tip73	0.932787727
Tip74	0.984582034
Tip75	0.197477731
Tip76	0.123391553
Tip77	0.177691359
Tip78	0.662743279
Tip79	0.157305136
Tip80	0.757843128
Tip81	0.962283909
Tip82	0.815118271
Tip83	0.558258742
Tip84	0.02706318
Tip85	0.808678694
Tip86	0.472360418
Tip87	0.657328928
Tip88	0.283893906
Tip89	0.421127494
Tip90	0.630277535
Tip91	0.15824022
Tip92	0.553396085
Tip93	0.075723843
Tip94	0.572386926
Tip95	0.763539625
Tip96	0.921523705
Tip97	0.70150709
Tip98	0.185490472
Tip99	0.857778609
Tip100	0.401625943
Tip101	0.957987361
Tip102	0.478356504
Tip103	0.095424764
Tip104	0.166488106
Tip105	0.659883679
Tip106	0.696381947
Tip107	0.0301615
Tip108	0.867186105
Tip109	0.786555478
Tip110	0.789142929
Tip111	0.379625667
Tip112	0.392895564
Tip113	0.161622197
Tip114	0.793367814
Tip115	0.79409712
Tip116	0.089710159
Tip117	0.708748421
Tip118	0.720874112
Tip119	0.354316296
Tip120	0.808534675
Tip121	0.216485731
Tip122	0.108924657
Tip123	0.368656529
Tip124	0.431432518
Tip125	0.999690147
Tip126	0.280522037
Tip127	0.213558732
Tip128	0.415976201
Tip129	0.338888423
Tip130	0.196068424
Tip131	0.795187448
Tip132	0.404339237
Tip133	0.186296558
Tip134	0.730924916
Tip135	0.684518465
Tip136	0.697567004
Tip137	0.787980943
Tip138	0.319016533
Tip139	0.567712798
Tip140	0.797850982
Tip141	0.43677898
Tip142	0.291851295
Tip143	0.999060936
Tip144	0.769339244
Tip145	0.077292792
Tip146	0.400526102
Tip147	0.527804962
Tip148	0.126993729
Tip149	0.885836872
Tip150	0.595998971
Tip151	0.341843863
Tip152	0.13476724
Tip153	0.840777387
Tip154	0.711177601
Tip155	0.611316409
Tip156	0.391832158
Tip157	0.388555447
Tip158	0.488506445
Tip159	0.96972499
Tip160	0.278084455
Tip161	0.246634265
Tip162	0.345273027
Tip163	0.246780956
Tip164	0.908280383
Tip165	0.758070448
Tip166	0.303607129
Tip167	0.263138486
Tip168	0.23507359
Tip169	0.739847283
Tip170	0.710002599
Tip171	0.534227645
Tip172	0.986349926
Tip173	0.436037997
Tip174	0.817072398
Tip175	0.473003228
Tip176	0.673536139
Tip177	0.799355961
Tip178	0.463871532
Tip179	0.018009754
Tip180	0.033466221
Tip181	0.367363377
Tip182	0.927923201
Tip183	0.912797813
Tip184	0.230649058
Tip185	0.195718804
Tip186	0.124236221
Tip187	0.932880447
Tip188	0.992342751
Tip189	0.559650604
Tip190	0.239664269
Tip191	0.722806728
Tip192	0.920253148
Tip193	0.192199638
Tip194	0.131234507
Tip195	0.515427824
Tip196	0.158481493
Tip197	0.623021903
Tip198	0.545261383
Tip199	0.621582885
Tip200	0.719925436
Tip201	0.975808045
Tip202	0.660255559
Tip203	0.826352113
Tip204	0.620334203
Tip205	0.263542333
Tip206	0.388515358
Tip207	0.131694092
Tip208	0.093656257
Tip209	0.894355885
Tip210	0.027109776
Tip211	0.978428153
Tip212	0.924438391
