SppName	BodySize
af	2.643
aj	2.849
bn	2.699
az	2.607
bp	3.18
dt	3.13
dd	2.962
eb	2.233
dz	2.077
dv	2.167
ds	2.017
dp	2.73
db	2.325
ed	2.318
dh	2.975
dn	3.097
dl	3
dj	3.053
df	3.114
bv	3.188
cl	3.398
cj	3.31
cf	3.602
cv	4.231
ct	3.592
cn	3
cw	3.505
cz	2.352
cr	2.796
cp	3.114
ch	2.735
cd	2.531
bt	3.929
cb	3.803
by	4.114
bd	3.398
bl	2.972
bj	3.231
bh	3.875
bb	3.817
es	3.908
ey	4.041
ev	3.74
eu	4.279
eg	4.377
ei	3.601
eq	3.602
eo	3.954
em	4.38
ek	3.283
bf	3.544
fo	2.516
fk	3.079
fm	2.904
fe	3.319
fi	2.533
fc	2.371
fg	3.852
ay	3.842
go	3.742
gn	3.398
gh	3.605
gc	3.579
gl	3.127
gj	3.053
ge	2.954
fq	3.092
ah	3.092
ga	3.097
fw	3.079
fx	3.079
fu	3.477
fs	3.69
ad	5.237
hb	4.889
hd	4.663
hh	5
hf	5
hl	5.146
hj	5.035
hm	4.601
iy	4.127
iz	4
iv	4.011
it	4.041
ir	3.929
in	3.993
jr	3.918
jt	3.671
jl	3.602
jp	3.728
jn	3.889
jb	3.719
jd	4.366
jj	4.106
jh	4.343
jc	3.778
jf	3.606
ht	3.38
lf	3.699
il	3.512
ih	3.739
ij	3.687
id	3.342
if	3
hy	3.041
ib	3.436
hv	3.471
hz	3.447
hs	3.584
hr	3.618
ap	4.508
at	4.62
av	4.799
ar	4
kn	5.208
kk	4.701
kb	5
al	5.211
md	4.645
lu	4.29
mf	3.512
mh	3.972
mn	4.254
ml	3.973
mj	3.95
ls	4.061
lx	4.027
mb	3.352
ly	3.555
lq	3.348
ky	3.595
lo	3.962
lm	4.076
lg	3.512
li	3.402
lb	3.114
ld	3.742
kj	3.74
kr	3.845
kp	3.544
kt	4.138
kz	4.079
kv	3.519
ju	4.035
kd	3.13
kh	3.829
kf	3.896
jy	4.713
jz	4.699
ne	2.461
nc	2.477
nb	3.176
ox	3.284
pz	3.176
pr	2.845
qu	3.097
qh	3.544
qj	2.861
qb	3.19
qd	3.398
qf	3.398
oy	3.332
pv	2.922
pt	3.215
pc	3.122
pq	2.875
ng	3.301
os	3.27
ru	3.714
oq	3.477
oi	3.5
ou	3.27
oo	3.476
om	2.875
ok	2.901
ns	2.74
od	2.875
of	3.519
ob	2.544
ra	3.398
sd	3.217
ty	3.146
ug	3.347
ud	3.217
ub	3.347
tv	3.255
tz	3.347
te	3.023
tg	3.477
sw	2.845
sx	2.709
tc	2.699
ta	3.477
sf	3.966
re	3.966
sv	4
sj	3.954
st	3.474
sh	4.079
rb	3.444
rl	3.505
rw	4.114
rn	3.633
sb	3.352
rm	3.301
rc	3.512
rj	3.301
rg	3.653
