SppName	BodyMass	LogBodyMass
Glaucis_aeneus	4.8	0.681241237
Glaucis_hirsutus	3.993970894	0.601404896
Glaucis_dohrnii	5.8	0.763427994
Threnetes_niger	5.6	0.748188027
Threnetes_ruckeri	5.2	0.716003344
Threnetes_leucurus	6	0.77815125
Anopetia_gounellei	3	0.477121255
Phaethornis_yaruqui	5.4	0.73239376
Phaethornis_guy	6.3	0.799340549
Phaethornis_syrmatophorus	5.8	0.763427994
Phaethornis_longirostris	6	0.77815125
Phaethornis_superciliosus	6.3	0.799340549
Phaethornis_malaris	5.9	0.770852012
Phaethornis_eurynome	5.3	0.72427587
Phaethornis_hispidus	5	0.698970004
Phaethornis_anthophilus	5.9	0.770852012
Phaethornis_bourcieri	4.3	0.633468456
Phaethornis_koepckeae	5.130769231	0.710182482
Phaethornis_philippii	5	0.698970004
Phaethornis_squalidus	3.4	0.531478917
Phaethornis_augusti	6	0.77815125
Phaethornis_pretrei	5.6	0.748188027
Phaethornis_subochraceus	3.8	0.579783597
Phaethornis_nattereri	3.1	0.491361694
Phaethornis_ruber	2.4	0.380211242
Phaethornis_stuarti	2.9	0.462397998
Phaethornis_griseogularis	2.3	0.361727836
Phaethornis_rupurumii	3.7	0.568201724
Phaethornis_longuemareus	3	0.477121255
Phaethornis_atrimentalis	2.6	0.414973348
Phaethornis_striigularis	3	0.477121255
Phaethornis_idaliae	2.6	0.414973348
Eutoxeres_aquila	10.6	1.025305865
Eutoxeres_condamini	10.83478261	1.034820202
Androdon_aequatorialis	7.3	0.86332286
Ramphodon_naevius	7.9	0.897627091
Doryfera_johannae	4.942857143	0.693978059
Doryfera_ludovicae	6	0.77815125
Phaeochroa_cuvierii	8.9	0.949390007
Campylopterus_curvipennis	6	0.77815125
Campylopterus_excellens	9	0.954242509
Campylopterus_largipennis	8.3	0.919078092
Campylopterus_rufus	7.410526316	0.869849054
Campylopterus_hyperythrus	6.4	0.806179974
Campylopterus_duidae	6.259649123	0.79654999
Campylopterus_hemileucurus	9.153846154	0.961603609
Campylopterus_ensipennis	9.6	0.982271233
Campylopterus_falcatus	7.2	0.857332496
Campylopterus_villaviscensio	7.133333333	0.853292519
Eupetomena_macroura	9	0.954242509
Florisuga_mellivora	7.4	0.86923172
Florisuga_fusca	8.1	0.908485019
Colibri_delphinae	6.4	0.806179974
Colibri_thalassinus	5.9	0.770852012
Colibri_coruscans	6.7	0.826074803
Colibri_serrirostris	6.7	0.826074803
Anthracothorax_viridigula	7.5	0.875061263
Anthracothorax_veraguensis	7	0.84509804
Anthracothorax_prevostii	6.4	0.806179974
Anthracothorax_nigricollis	7	0.84509804
Avocettula_recurvirostris	4.2	0.62324929
Topaza_pyra	13.07272727	1.116366201
Topaza_pella	12.23783784	1.087704694
Chrysolampis_mosquitus	3.9	0.591064607
Klais_guimeti	2.6	0.414973348
Stephanoxis_lalandi	4	0.602059991
Abeillia_abeillei	2.7	0.431363764
Lophornis_ornatus	2.3	0.361727836
Lophornis_gouldii	2.4	0.380211242
Lophornis_magnificus	2.7	0.431363764
Lophornis_delattrei	2.8	0.447158031
Lophornis_chalybeus	3	0.477121255
Lophornis_pavoninus	3	0.477121255
Lophornis_helenae	2.6	0.414973348
Lophornis_adorabilis	2.7	0.431363764
Discosura_popelairii	2.5	0.397940009
Discosura_langsdorffi	2.8	0.447158031
Discosura_conversii	3	0.477121255
Discosura_longicaudus	3.4	0.531478917
Chlorestes_notata	4.2	0.62324929
Chlorostilbon_auriceps	2.2	0.342422681
Chlorostilbon_canivetii	2.5	0.397940009
Chlorostilbon_assimilis	3	0.477121255
Chlorostilbon_olivaresi	3.670588235	0.564735668
Chlorostilbon_mellisugus	2.645714286	0.422542942
Chlorostilbon_aureoventris	3.5	0.544068044
Chlorostilbon_gibsoni	2.8	0.447158031
Chlorostilbon_russatus	3.4	0.531478917
Chlorostilbon_stenurus	3.4	0.531478917
Chlorostilbon_alice	3.4	0.531478917
Chlorostilbon_poortmani	3.4	0.531478917
Chlorostilbon_melanorhynchus	2.6	0.414973348
Cynanthus_sordidus	4	0.602059991
Cynanthus_latirostris	3.1	0.491361694
Thalurania_ridgwayi	3.8	0.579783597
Thalurania_colombica	4.5	0.653212514
Thalurania_fannyi	4.45	0.648360011
Thalurania_furcata	4.346987952	0.638188436
Thalurania_watertonii	4.6	0.662757832
Thalurania_glaucopis	4.8	0.681241237
Panterpe_insignis	5.7	0.755874856
Damophila_julie	3.3	0.51851394
Lepidopyga_coeruleogularis	4.2	0.62324929
Lepidopyga_lilliae	4.3	0.633468456
Lepidopyga_goudoti	4	0.602059991
Hylocharis_eliciae	3.6	0.556302501
